alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
5.536051362612838,0.031109591202358886,gray,2,hsv,55,91,0.5232495261809993,0.9434810091740614,3,13,rect,close,572,13,0.6556937235798203
5.571878304334082,0.03388481933409754,gray,2,hsv,55,90,0.5332908162760785,0.9276253003505283,3,13,rect,close,562,11,0.6548296413334649
5.544406832356342,0.03447546480705352,gray,2,hsv,55,90,0.8343718854104182,0.9281989069481039,3,13,rect,close,303,11,0.5921009668378794
5.525324606715477,0.02846408287854139,gray,2,hsv,55,90,0.5236923231755244,0.9329560518768751,3,13,rect,close,313,11,0.6206483478079008
5.298119565856778,0.029048305011436012,gray,2,hsv,55,91,0.5218458407588286,0.9372235778961097,3,19,rect,close,552,11,0.6068886639988506
5.2834014747879,0.03197053378596521,gray,2,hsv,57,91,0.5458706132081163,0.9374440497470004,3,15,rect,close,553,13,0.6372172116254564
5.46001936656724,0.0324029163389915,gray,2,hsv,57,91,0.5469883591185769,0.9435827470958382,3,15,rect,close,561,13,0.6371713356124827
4.1071025979197895,0.034079284798868736,gray,2,hsv,50,91,0.5316075934109518,0.9458172786456736,3,13,rect,close_open,564,10,0.5262774799550233
5.3905297090444675,0.035344460028164076,gray,2,hsv,52,90,0.5319062502259323,0.9458036037772103,3,13,rect,close_open,570,10,0.6349506428856945
5.375135201272555,0.039453549371180605,gray,2,hsv,51,90,0.5087757097072209,0.9295749709252901,3,11,rect,close,573,12,0.6597759140310027
5.699059797429535,0.039421497087211155,gray,2,hsv,60,94,0.536259970305376,0.941870088932081,3,13,rect,close,577,13,0.6479260949849702
5.626941126931585,0.0389190080797,gray,2,hsv,50,94,0.5089268064896925,0.9292905172259369,3,11,rect,close,576,12,0.6527590174619435
5.562202566948373,0.026512403554421388,gray,2,hsv,54,133,0.5085075986763867,0.9293712121143044,3,11,rect,close,544,12,0.6451778939886442
5.579663889850783,0.030028841452502984,gray,0,hsv,50,95,0.5197245575824571,0.9290600133274886,3,11,rect,close,572,12,0.3903297747045203
5.616506227806696,0.030873857947023218,gray,2,hsv,50,95,0.520636883217746,0.9311121584732435,3,11,rect,close,571,12,0.6536029639300239
5.2278682236672385,0.038761644458161944,gray,2,hsv,49,92,0.516404464567431,0.9335629844162756,3,11,rect,close,561,11,0.6505069334544442
5.452889234916014,0.02179893439666817,gray,2,hsv,49,123,0.52599670216011,0.9235243539607771,3,11,rect,open,560,11,0.6078748123029741
5.359690032495088,0.02454816957484304,gray,2,hsv,53,123,0.5269001259098242,0.9258186470035731,3,11,rect,close,571,16,0.6403620829397063
5.607966844597902,0.028162183450272,gray,2,hsv,45,90,0.5541985969659784,0.9244372028656367,3,11,rect,close,548,16,0.6471257076540263
5.637891988102874,0.027925779046666946,gray,2,hsv,45,90,0.5605382443045867,0.9116355084055285,3,11,rect,close,551,15,0.645569321194381
5.619919648279009,0.0314629818385464,gray,2,hsv,52,94,0.5076362228806679,0.9394817301326182,3,13,rect,close,582,13,0.6491096364372589
5.485922831591444,0.031513705885337126,gray,2,hsv,51,95,0.5075963019263983,0.9507132253384177,3,13,rect,close,581,13,0.6554244264233533
5.48681184175238,0.04113600334614145,gray,2,hsv,58,95,0.5187241117763576,0.9519081344007838,3,13,rect,close,591,13,0.654990496224073
5.448830443019284,0.030417092251194214,gray,2,hsv,51,92,0.517676669034785,0.9495553006868988,3,13,rect,close,589,12,0.6541433754958944
5.076490630344361,0.04111636522384603,gray,2,hsv,58,92,0.5186584413211316,0.9498561548164753,3,13,rect,close,589,12,0.6475929326357223
5.071987719445756,0.03138093695389848,gray,2,hsv,54,92,0.5376937544023628,0.9506029659210684,3,13,rect,close,591,12,0.6415045681887036
5.383400671309333,0.031776558993100376,gray,2,hsv,54,92,0.5373268765677263,0.9513156732116717,3,13,rect,close,592,15,0.6514365456096273
5.474040747990752,0.025837825832742436,gray,2,hsv,48,92,0.5313042167252239,0.9553093963768273,3,13,rect,close,568,15,0.6510492908099191
5.483062739436912,0.02497252625855931,gray,2,hsv,48,91,0.5290334968393994,0.9551055869202556,3,13,rect,close,567,11,0.6497062275542239
5.316445813228826,0.02938266791691722,gray,2,hsv,52,91,0.5170587337503841,0.9374141306153382,3,13,rect,close,575,11,0.6509787655111356
